address,index
6683,0.550328361
6679,0.550679712
6675,0.551531064
6671,0.553706739
6669,0.555321604
6665,0.55647701
6657,0.559463496
6641,0.563537821
Cassi Place,0.570759996
6613,0.572186469
6611,0.57301755
6607,0.573855388
6605,0.574490523
6603,0.574895929
6601,0.575531064
6565,0.577936469
6547,0.582409442
Schrader Boulevard,0.5835705
6525,0.586537821
6515,0.591504037
6507,0.593274307
6505,0.594456739
6503,0.595078361
6501,0.59626755
North Wilcox Avenue,0.597155629
6465,0.599260793
6449,0.602895929
6445,0.604537821
6435,0.605814848
6433,0.606639172
6427,0.610213496
North Cahuenga Boulevard,0.611635019
6407,0.615672956
Ivar Avenue,0.618308447
6363,0.62197701
6353,0.626301334
Morningside Court,0.628378477
6301-6333,0.63397701
Vine Street,0.638448324
6255,0.648309511
Argyle Avenue,0.652690164
6229,0.657328361
6227,0.65797701
6223,0.658835118
6221,0.659422956
6219,0.659990523
6215,0.660868902
6209,0.662801334
6207,0.663287821
6203,0.664125658
6201,0.664422956
El Centro Avenue,0.666095945
6121,0.670341875
Gower Street,0.679741881
6095,0.681220253
6093,0.681882415
6091,0.683463496
6087,0.684544577
6081,0.686612145
6069,0.690004037
6063,0.691841875
6055,0.69524728
La Blaig Avenue,0.696544833
6023,0.697429712
6021,0.698294042
6019,0.69867242
6017,0.698983231
6015,0.699510258
6013,0.69990215
6011,0.700375123
6009,0.700699447
6005,0.702449447
6003,0.702827826
6001,0.703375123
Gordon Street,0.704410504
5939,0.707469718
5907,0.717287285
5905,0.718104853
5901,0.718584582
Bronson Avenue,0.720975127
5857,0.723591339
5851,0.725692691
5849,0.726523772
5831,0.730537285
5825,0.735510258
5817,0.736969718
5801,0.739118366
Van Ness Avenue,0.741651632
5757,0.743125123
5751,0.744415664
Hollywood Freeway,0.754045807
North Wilton Place,0.762208414
5657,0.765577826
5641,0.767665664
5639,0.76915215
5625,0.772712961
5621,0.774962961
5615,0.776584582
5609,0.778827826
North Saint Andrew's Place,0.782467845
5565,0.783645393
5551,0.784091339
5549,0.784503501
5547,0.785618366
5543,0.78788188
5541,0.788510258
5539,0.788888637
5537,0.789969718
5535,0.790665664
5533,0.791591339
5529,0.792794042
5527,0.79342242
5525,0.793848096
5523,0.79436161
5521,0.795010258
5519,0.795888637
5515,0.796726474
5509,0.797969718
Western Avenue,0.803620895
5453,0.807739988
5451,0.808449447
5445,0.810395393
5435,0.81213188
5419,0.815638637
5409,0.819550799
5405,0.820935934
5401,0.822577826
Serrano Avenue,0.823820381
5357,0.82588188
5351,0.826645393
5343,0.827935934
5341,0.828530528
5325,0.829692691
5317,0.83036161
5301,0.835226474
Hobart Boulevard,0.837525017
5287,0.839848096
5271,0.841983231
5265,0.84361161
5255,0.847442691
North Harvard Boulevard,0.849621125
5237,0.85117242
5235,0.851604853
5233,0.852334582
5227,0.853158907
5213,0.854314312
5211,0.85536161
5209,0.855888637
5207,0.856685934
5205,0.857530528
5203,0.858577826
5201,0.859179177
North Kingsley Drive,0.859929223
5187,0.861348096
5185,0.862104853
5183,0.862699447
5167,0.863746745
5161,0.866469718
5153,0.867753501
Winona Boulevard,0.870535366
5143,0.871692691
5123-5137,0.87490215
5125,0.877206204
5121,0.878104853
5115,0.880267015
5107,0.882496745
5105,0.882989988
5103,0.883638637
5101,0.884375123
Normandie Avenue,0.886086994
5067,0.888618366
5065,0.889064312
5063,0.889503501
5061,0.89036161
5057,0.891942691
5055,0.892807555
5053,0.892956204
5051,0.894314312
North Mariposa Avenue,0.896335433
5025,0.899564312
5007,0.903807555
North Alexandria Avenue,0.90682223
4975,0.908685934
4971,0.91017242
4969,0.911179177
4963,0.912260258
4961,0.912848096
4959,0.91317242
4957,0.913767015
4955,0.914334582
4953,0.914875123
4951,0.915719718
Kenmore Avenue,0.917130906
4929,0.919091339
Edgemont Street,0.927379459
4867,0.933145393
4801,0.94613188
4747,0.949523772
4733,0.953800799
4711,0.963503501
4705,0.966341339
Vermont Avenue,0.968731894
4661,0.972942691
4635,0.979125123
4629,0.980577826
4625,0.982395393
4621,0.983375123
4619,0.984091339
4611,0.985415664
4601,0.987962961
Rodney Drive,0.989467644
4551,0.992125123
4531,0.999185934
4529,1.000395393
